City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Ugoofaaru,MV,80.13,few clouds,5.6667,73.0,Ungoofaaru Inn
2,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
7,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
9,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
10,Kahului,US,83.46,clear sky,20.8947,-156.47,Maui Seaside Hotel
14,Biak,ID,77.56,light rain,-0.9131,122.8766,Penginapan Kim
15,Non Thai,TH,75.85,broken clouds,15.1981,102.0358,ครัวพี่หนุ่ม สงต่อน
18,Bambous Virieux,MU,80.85,moderate rain,-20.3428,57.7575,Casa Tia Villa
23,Kapaa,US,78.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Manggar,ID,77.38,broken clouds,-2.8833,108.2667,Guest Hotel
29,Rikitea,PF,77.72,light rain,-23.1203,-134.9692,People ThankYou
31,Concepcion Del Uruguay,AR,75.97,overcast clouds,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
35,Ciudad Bolivar,VE,89.13,broken clouds,8.1222,-63.5497,Hotel Edi
42,Bontang,ID,76.59,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
44,Monte Alegre,BR,75.79,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
47,Tete,MZ,80.69,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
48,Busselton,AU,80.04,scattered clouds,-33.65,115.3333,Observatory Guest House
54,Vanimo,PG,79.14,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
60,Pemangkat,ID,75.7,overcast clouds,1.1667,108.9667,Ramah Kost KITA
63,Lhokseumawe,ID,75.15,scattered clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
64,Ca Mau,VN,76.59,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
65,Colinas,BR,76.01,overcast clouds,-6.0258,-44.2492,Pousada do Nonatinho
73,Itarema,BR,80.46,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
74,Itamaraca,BR,84.25,broken clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
76,Mercedes,AR,75.78,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
77,Basco,PH,75.47,broken clouds,20.4487,121.9702,Nathaniel's Lodge
78,Ahipara,NZ,75.99,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
79,Kavaratti,IN,78.89,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
82,Pocosol,CR,85.1,broken clouds,10.3667,-84.6167,Heliconias Nature Lodge
88,Carutapera,BR,75.94,overcast clouds,-1.195,-46.02,Lidera
91,Moron,AR,76.69,broken clouds,-34.6534,-58.6198,Hotel Morón
94,Imbituba,BR,80.49,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
108,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
110,Grand Baie,MU,81.07,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
114,Puerto Ayora,EC,84.16,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
116,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
120,Poum,NC,82.26,overcast clouds,-20.2333,164.0167,Gîte kajeon
123,Atuona,PF,78.75,clear sky,-9.8,-139.0333,Villa Enata
130,Mackay,AU,77.68,moderate rain,-21.15,149.2,International Lodge Motel
133,Sola,VU,81.27,overcast clouds,-13.8833,167.55,Leumerus Bungalows
134,Wagar,SD,76.33,broken clouds,16.1525,36.2032,
136,Lorengau,PG,80.55,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
155,Armeria,MX,80.56,clear sky,18.9333,-103.9667,Hotel la Herradura
157,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
159,Cidreira,BR,76.21,broken clouds,-30.1811,-50.2056,Hotel Castelo
162,San Juan,AR,88.36,few clouds,-31.5375,-68.5364,Hotel Provincial
163,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
167,Jacmel,HT,75.54,few clouds,18.2342,-72.5347,Historic Hotel Florita
175,Bengkulu,ID,75.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
176,Pochutla,MX,84.81,clear sky,15.7432,-96.4661,Hotel Posada San Jose
182,Placido De Castro,BR,75.31,scattered clouds,-10.3353,-67.1856,Hotel Carioca
184,Belmonte,BR,81.1,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
185,Saint-Pierre,RE,78.44,very heavy rain,-21.3393,55.4781,Lindsey Hôtel
187,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.0833,Scoop Guest House
192,Dingle,PH,75.09,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
193,Kroya,ID,75.2,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
201,Salinopolis,BR,78.71,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
202,Faanui,PF,80.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
208,Kokopo,PG,80.64,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
212,Panama City,PA,87.93,broken clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
215,Zabid,YE,75.51,clear sky,14.1951,43.3152,مغرب التريبه
218,Kupang,ID,79.05,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
220,Hilo,US,77.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
222,Sibanicu,CU,76.66,broken clouds,21.235,-77.5264,
224,Benjamin Constant,BR,75.16,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
225,Accra,GH,81.19,clear sky,5.556,-0.1969,Accra City Hotel
231,Port Keats,AU,83.46,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
234,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
236,Florianopolis,BR,78.03,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
260,Arraial Do Cabo,BR,75.33,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
265,Maragogi,BR,79.75,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
266,Domoni,KM,79.59,light rain,-12.2569,44.5319,Al Djadid
