City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ugoofaaru,MV,2022-02-03 22:54:25,5.6667,73.0,80.13,76,14,5.5,few clouds
1,Ilulissat,GL,2022-02-03 22:52:34,69.2167,-51.1,17.78,70,100,9.91,overcast clouds
2,Butaritari,KI,2022-02-03 22:50:30,3.0707,172.7902,82.11,74,24,15.32,light rain
3,Hermanus,ZA,2022-02-03 22:54:25,-34.4187,19.2345,62.8,71,39,9.6,scattered clouds
4,Torbay,CA,2022-02-03 22:50:29,47.6666,-52.7314,35.58,84,100,28.77,overcast clouds
5,Kodiak,US,2022-02-03 22:49:30,57.79,-152.4072,40.51,93,100,8.05,light rain
6,Lasa,IT,2022-02-03 22:54:26,46.6166,10.7002,40.46,71,97,3.42,overcast clouds
7,Vaini,TO,2022-02-03 22:49:40,-21.2,-175.2,86.16,79,40,8.05,scattered clouds
8,Autazes,BR,2022-02-03 22:54:27,-3.5797,-59.1306,74.95,98,97,1.59,overcast clouds
9,Avarua,CK,2022-02-03 22:51:38,-21.2078,-159.775,84.25,74,40,18.41,scattered clouds
10,Kahului,US,2022-02-03 22:54:27,20.8947,-156.47,83.46,59,2,11.01,clear sky
11,Newport,GB,2022-02-03 22:54:27,51.5877,-2.9984,51.26,86,100,5.01,overcast clouds
12,Sitka,US,2022-02-03 22:50:32,57.0531,-135.33,39.09,93,100,3.44,mist
13,Mataura,NZ,2022-02-03 22:54:28,-46.1927,168.8643,52.48,99,100,2.37,light rain
14,Biak,ID,2022-02-03 22:54:28,-0.9131,122.8766,77.56,74,100,3.6,light rain
15,Non Thai,TH,2022-02-03 22:54:29,15.1981,102.0358,75.85,68,62,8.46,broken clouds
16,New Norfolk,AU,2022-02-03 22:54:29,-42.7826,147.0587,63.66,52,11,1.01,few clouds
17,Rawson,AR,2022-02-03 22:50:51,-43.3002,-65.1023,70.41,55,59,6.73,broken clouds
18,Bambous Virieux,MU,2022-02-03 22:50:29,-20.3428,57.7575,80.85,89,75,25.32,moderate rain
19,Archidona,ES,2022-02-03 22:54:30,37.0965,-4.3887,57.76,52,7,3.4,clear sky
20,Punta Arenas,CL,2022-02-03 22:51:45,-53.15,-70.9167,50.02,57,0,11.5,clear sky
21,Haines Junction,CA,2022-02-03 22:50:48,60.7522,-137.5108,-2.25,71,100,1.14,overcast clouds
22,Mount Gambier,AU,2022-02-03 22:54:00,-37.8333,140.7667,62.51,63,81,11.5,broken clouds
23,Kapaa,US,2022-02-03 22:54:30,22.0752,-159.319,78.48,59,2,1.99,clear sky
24,Port Elizabeth,ZA,2022-02-03 22:54:14,-33.918,25.5701,67.1,72,96,13.11,overcast clouds
25,Ust-Ilimsk,RU,2022-02-03 22:46:59,58.0006,102.6619,3.51,95,100,7.16,overcast clouds
26,Manggar,ID,2022-02-03 22:49:25,-2.8833,108.2667,77.38,86,76,3.76,broken clouds
27,Jamestown,US,2022-02-03 22:54:11,42.097,-79.2353,27.09,69,100,8.99,mist
28,Lalmohan,BD,2022-02-03 22:46:53,22.3384,90.7419,66.72,75,2,5.28,clear sky
29,Rikitea,PF,2022-02-03 22:54:10,-23.1203,-134.9692,77.72,75,100,16.71,light rain
30,Ulladulla,AU,2022-02-03 22:54:15,-35.35,150.4667,65.3,79,87,10.56,overcast clouds
31,Concepcion Del Uruguay,AR,2022-02-03 22:54:32,-32.4825,-58.2372,75.97,86,100,1.99,overcast clouds
32,Pokoynoye,RU,2022-02-03 22:54:32,44.8097,44.2517,35.15,91,98,2.08,overcast clouds
33,Beyneu,KZ,2022-02-03 22:54:32,45.3167,55.2,35.29,69,75,21.83,broken clouds
34,Chernyshevskiy,RU,2022-02-03 22:54:33,63.0128,112.4714,-16.69,100,92,0.98,overcast clouds
35,Ciudad Bolivar,VE,2022-02-03 22:54:33,8.1222,-63.5497,89.13,37,54,9.69,broken clouds
36,Kuryk,KZ,2022-02-03 22:54:33,43.2,51.65,46.62,57,95,20.11,overcast clouds
37,Bluff,NZ,2022-02-03 22:50:24,-46.6,168.3333,52.81,87,100,5.28,overcast clouds
38,Yulara,AU,2022-02-03 22:54:34,-25.2406,130.9889,64.24,55,51,9.22,broken clouds
39,Cape Town,ZA,2022-02-03 22:49:59,-33.9258,18.4232,64.27,65,75,4.0,broken clouds
40,Lebu,CL,2022-02-03 22:54:34,-37.6167,-73.65,61.54,88,93,12.17,overcast clouds
41,Tignere,CM,2022-02-03 22:54:35,7.3667,12.65,65.64,22,21,3.87,few clouds
42,Bontang,ID,2022-02-03 22:51:12,0.1333,117.5,76.59,85,100,5.14,overcast clouds
43,Yenisehir,TR,2022-02-03 22:54:35,40.2644,29.6531,37.45,81,75,8.05,light intensity shower rain
44,Monte Alegre,BR,2022-02-03 22:54:36,-2.0078,-54.0692,75.79,91,93,5.99,overcast clouds
45,Port Alfred,ZA,2022-02-03 22:54:36,-33.5906,26.891,70.32,79,83,18.16,broken clouds
46,Santa Rosalia,MX,2022-02-03 22:54:36,27.3167,-112.2833,58.42,41,0,14.67,clear sky
47,Tete,MZ,2022-02-03 22:55:37,-16.1564,33.5867,80.69,88,20,3.0,few clouds
48,Busselton,AU,2022-02-03 22:55:37,-33.65,115.3333,80.04,36,39,7.96,scattered clouds
49,Albany,US,2022-02-03 22:55:37,42.6001,-73.9662,40.75,93,100,4.0,snow
50,Ostrovnoy,RU,2022-02-03 22:55:38,68.0531,39.5131,13.62,92,100,5.1,overcast clouds
51,Namibe,AO,2022-02-03 22:55:38,-15.1961,12.1522,72.7,74,1,7.05,clear sky
52,Airai,TL,2022-02-03 22:51:36,-8.9266,125.4092,63.7,88,100,2.66,overcast clouds
53,Saint George,US,2022-02-03 22:53:01,37.1041,-113.5841,48.67,20,0,3.0,clear sky
54,Vanimo,PG,2022-02-03 22:49:33,-2.6741,141.3028,79.14,80,82,1.03,broken clouds
55,Lagoa,PT,2022-02-03 22:55:39,39.05,-27.9833,57.58,73,100,14.0,overcast clouds
56,Rorvik,NO,2022-02-03 22:55:39,64.8621,11.2373,26.71,93,100,25.32,snow
57,Adrar,MR,2022-02-03 22:51:43,20.5022,-10.0711,64.2,16,1,10.31,clear sky
58,Bandarbeyla,SO,2022-02-03 22:55:40,9.4942,50.8122,73.42,70,1,13.09,clear sky
59,Priargunsk,RU,2022-02-03 22:55:40,50.3691,119.1012,-27.67,98,10,2.71,clear sky
60,Pemangkat,ID,2022-02-03 22:55:40,1.1667,108.9667,75.7,91,100,6.4,overcast clouds
61,Prince Rupert,CA,2022-02-03 22:54:58,54.3161,-130.3201,44.69,87,100,18.41,moderate rain
62,Ushuaia,AR,2022-02-03 22:50:55,-54.8,-68.3,46.06,66,75,19.57,broken clouds
63,Lhokseumawe,ID,2022-02-03 22:55:41,5.1801,97.1507,75.15,89,47,5.3,scattered clouds
64,Ca Mau,VN,2022-02-03 22:51:51,9.1769,105.15,76.59,83,34,10.76,scattered clouds
65,Colinas,BR,2022-02-03 22:55:42,-6.0258,-44.2492,76.01,81,90,1.88,overcast clouds
66,Tiksi,RU,2022-02-03 22:52:03,71.6872,128.8694,-10.17,100,100,7.4,overcast clouds
67,Bredasdorp,ZA,2022-02-03 22:55:42,-34.5322,20.0403,62.28,82,20,3.44,few clouds
68,Naze,JP,2022-02-03 22:55:42,28.3667,129.4833,54.52,76,100,18.28,overcast clouds
69,Tombouctou,ML,2022-02-03 22:55:43,20.0,-3.0,65.77,11,0,8.66,clear sky
70,Brownwood,US,2022-02-03 22:55:43,31.7093,-98.9912,22.77,80,100,16.11,overcast clouds
71,Cap-Aux-Meules,CA,2022-02-03 22:55:43,47.3821,-61.8597,32.02,93,100,14.97,overcast clouds
72,Xifeng,CN,2022-02-03 22:55:44,42.7372,124.7222,3.34,77,5,6.82,clear sky
73,Itarema,BR,2022-02-03 22:55:44,-2.9248,-39.9167,80.46,80,92,13.62,overcast clouds
74,Itamaraca,BR,2022-02-03 22:55:44,-7.7478,-34.8256,84.25,78,69,12.88,broken clouds
75,Shihezi,CN,2022-02-03 22:55:45,44.3,86.0333,0.43,95,93,3.83,overcast clouds
76,Mercedes,AR,2022-02-03 22:55:45,-34.6515,-59.4307,75.78,87,74,6.53,broken clouds
77,Basco,PH,2022-02-03 22:56:07,20.4487,121.9702,75.47,73,70,17.49,broken clouds
78,Ahipara,NZ,2022-02-03 22:52:37,-35.1667,173.1667,75.99,74,79,14.88,broken clouds
79,Kavaratti,IN,2022-02-03 22:54:13,10.5669,72.642,78.89,67,7,8.1,clear sky
80,Vestmannaeyjar,IS,2022-02-03 22:56:08,63.4427,-20.2734,25.43,69,8,27.67,clear sky
81,Fortuna,US,2022-02-03 22:44:14,40.5982,-124.1573,59.18,71,0,8.99,clear sky
82,Pocosol,CR,2022-02-03 22:56:08,10.3667,-84.6167,85.1,70,51,6.26,broken clouds
83,Douentza,ML,2022-02-03 22:54:18,14.9951,-2.9517,69.69,13,5,5.03,clear sky
84,Castro,BR,2022-02-03 22:54:12,-24.7911,-50.0119,66.47,95,83,4.65,broken clouds
85,Chokurdakh,RU,2022-02-03 22:56:09,70.6333,147.9167,-28.19,100,70,1.63,broken clouds
86,Flin Flon,CA,2022-02-03 22:51:44,54.7682,-101.865,-9.56,54,20,4.61,few clouds
87,Solnechnyy,RU,2022-02-03 22:56:09,50.7214,136.6319,-11.33,98,69,2.44,broken clouds
88,Carutapera,BR,2022-02-03 22:56:10,-1.195,-46.02,75.94,91,97,6.93,overcast clouds
89,Along,IN,2022-02-03 22:56:10,28.1667,94.7667,46.36,93,86,2.28,overcast clouds
90,Najran,SA,2022-02-03 22:56:10,17.4924,44.1277,57.85,32,12,3.67,few clouds
91,Moron,AR,2022-02-03 22:56:11,-34.6534,-58.6198,76.69,83,74,5.77,broken clouds
92,Qaanaaq,GL,2022-02-03 22:54:17,77.484,-69.3632,-13.25,61,100,7.4,overcast clouds
93,Skibbereen,IE,2022-02-03 22:57:11,51.55,-9.2667,43.11,92,100,16.04,light rain
94,Imbituba,BR,2022-02-03 22:55:27,-28.24,-48.6703,80.49,87,27,17.22,scattered clouds
95,Hobart,AU,2022-02-03 22:54:12,-42.8794,147.3294,64.02,60,75,4.61,broken clouds
96,Nikolskoye,RU,2022-02-03 22:57:33,59.7035,30.7861,1.29,100,98,1.1,overcast clouds
97,Stromness,GB,2022-02-03 22:57:33,58.965,-3.296,37.36,64,69,36.78,heavy intensity rain
98,Leningradskiy,RU,2022-02-03 22:57:34,69.3833,178.4167,-10.52,81,2,8.88,clear sky
99,Hasaki,JP,2022-02-03 22:52:47,35.7333,140.8333,34.2,54,71,13.06,broken clouds
100,Visnes,NO,2022-02-03 22:57:34,59.3556,5.2242,47.57,87,100,26.46,light rain
101,Galesong,ID,2022-02-03 22:52:53,-5.3166,119.3661,71.62,82,100,5.14,overcast clouds
102,Hamilton,US,2022-02-03 22:57:35,39.1834,-84.5333,27.19,92,100,3.0,mist
103,Den Helder,NL,2022-02-03 22:57:35,52.9599,4.7593,46.38,93,100,14.0,overcast clouds
104,Chuy,UY,2022-02-03 22:54:09,-33.6971,-53.4616,74.55,91,90,12.03,moderate rain
105,Lakes Entrance,AU,2022-02-03 22:57:36,-37.8811,147.981,66.16,66,83,3.02,broken clouds
106,Saldanha,ZA,2022-02-03 22:57:36,-33.0117,17.9442,59.05,79,5,18.12,clear sky
107,Barrow,US,2022-02-03 22:54:14,71.2906,-156.7887,-25.58,83,40,3.44,mist
108,San Cristobal,VE,2022-02-03 22:57:36,7.7669,-72.225,78.98,51,78,1.19,broken clouds
109,Severo-Kurilsk,RU,2022-02-03 22:52:49,50.6789,156.125,30.94,83,100,9.53,overcast clouds
110,Grand Baie,MU,2022-02-03 22:57:37,-20.0182,57.5802,81.07,84,100,15.01,overcast clouds
111,Okha,RU,2022-02-03 22:57:37,53.5739,142.9478,2.88,91,100,22.7,light snow
112,The Pas,CA,2022-02-03 22:57:37,53.8251,-101.2541,-11.18,77,100,2.3,haze
113,Esperance,AU,2022-02-03 22:57:38,-33.8667,121.9,62.44,71,0,17.0,clear sky
114,Puerto Ayora,EC,2022-02-03 22:57:38,-0.7393,-90.3518,84.16,89,16,5.99,few clouds
115,Fernie,CA,2022-02-03 22:57:39,49.5,-115.0687,30.29,91,100,4.14,overcast clouds
116,Cayenne,GF,2022-02-03 22:56:40,4.9333,-52.3333,78.1,90,75,5.01,broken clouds
117,Mwense,ZM,2022-02-03 22:57:39,-10.3845,28.698,65.73,99,100,3.58,light rain
118,Havre-Saint-Pierre,CA,2022-02-03 22:57:39,50.2334,-63.5986,19.99,73,100,21.85,overcast clouds
119,Zhigansk,RU,2022-02-03 22:57:40,66.7697,123.3711,-31.58,99,99,1.74,overcast clouds
120,Poum,NC,2022-02-03 22:55:27,-20.2333,164.0167,82.26,84,97,15.75,overcast clouds
121,Berlevag,NO,2022-02-03 22:57:40,70.8578,29.0864,15.75,79,20,11.5,few clouds
122,Zhovkva,UA,2022-02-03 22:57:41,50.0583,23.9726,29.41,93,91,5.82,overcast clouds
123,Atuona,PF,2022-02-03 22:54:15,-9.8,-139.0333,78.75,74,9,15.21,clear sky
124,Lima,PE,2022-02-03 22:54:36,-12.0432,-77.0282,72.39,75,0,8.05,clear sky
125,Aktash,RU,2022-02-03 22:57:41,50.3,87.7333,-20.06,84,35,4.36,scattered clouds
126,Talara,PE,2022-02-03 22:57:42,-4.5772,-81.2719,73.27,78,70,18.77,broken clouds
127,Upernavik,GL,2022-02-03 22:57:42,72.7868,-56.1549,2.05,66,100,4.0,overcast clouds
128,Lompoc,US,2022-02-03 22:57:42,34.6391,-120.4579,67.78,48,75,4.0,broken clouds
129,Rundu,NA,2022-02-03 22:57:43,-17.9333,19.7667,68.04,87,100,1.61,overcast clouds
130,Mackay,AU,2022-02-03 22:57:43,-21.15,149.2,77.68,94,100,10.36,moderate rain
131,Mar Del Plata,AR,2022-02-03 22:57:38,-38.0023,-57.5575,73.42,90,40,7.0,scattered clouds
132,Cabo San Lucas,MX,2022-02-03 22:57:43,22.8909,-109.9124,74.95,49,75,1.01,broken clouds
133,Sola,VU,2022-02-03 22:53:06,-13.8833,167.55,81.27,89,100,0.0,overcast clouds
134,Wagar,SD,2022-02-03 22:57:44,16.1525,36.2032,76.33,40,62,11.16,broken clouds
135,La Ronge,CA,2022-02-03 22:57:44,55.1001,-105.2842,-9.15,49,0,5.75,clear sky
136,Lorengau,PG,2022-02-03 22:57:45,-2.0226,147.2712,80.55,80,100,4.16,overcast clouds
137,Aklavik,CA,2022-02-03 22:51:09,68.2191,-135.0107,-21.17,76,20,4.61,few clouds
138,Hurup,DK,2022-02-03 22:57:45,56.7494,8.4195,42.87,94,84,18.07,broken clouds
139,Jaisalmer,IN,2022-02-03 22:57:46,26.9147,70.9181,59.18,26,0,9.75,clear sky
140,Half Moon Bay,US,2022-02-03 22:53:58,37.4636,-122.4286,66.42,51,75,1.01,broken clouds
141,Chemal,RU,2022-02-03 22:58:46,51.4111,86.005,1.06,96,45,5.68,scattered clouds
142,Thohoyandou,ZA,2022-02-03 22:58:46,-22.9456,30.485,74.46,54,0,2.93,clear sky
143,Tura,IN,2022-02-03 22:58:47,25.5198,90.2201,60.24,57,74,3.13,broken clouds
144,Nanortalik,GL,2022-02-03 22:58:47,60.1432,-45.2371,28.45,68,100,11.97,light snow
145,Urubicha,BO,2022-02-03 22:58:48,-15.3833,-62.95,74.93,93,55,3.15,light rain
146,Kruisfontein,ZA,2022-02-03 22:51:38,-34.0033,24.7314,64.89,77,59,11.68,broken clouds
147,Yellowknife,CA,2022-02-03 22:56:02,62.456,-114.3525,-20.58,80,0,5.75,clear sky
148,Bandar-E Lengeh,IR,2022-02-03 22:58:48,26.5579,54.8807,67.75,56,0,6.38,clear sky
149,Muborak,UZ,2022-02-03 22:58:49,39.2553,65.1528,41.61,55,3,8.97,clear sky
150,Puri,IN,2022-02-03 22:58:49,19.8,85.85,70.32,69,10,16.17,clear sky
151,Bethel,US,2022-02-03 22:58:49,41.3712,-73.414,42.4,92,100,0.0,moderate rain
152,Constitucion,CL,2022-02-03 22:58:50,-35.3333,-72.4167,62.2,84,61,8.72,broken clouds
153,Saskylakh,RU,2022-02-03 22:58:50,71.9167,114.0833,-16.73,97,99,1.1,overcast clouds
154,Haikou,CN,2022-02-03 22:58:50,20.0458,110.3417,57.33,94,75,6.71,broken clouds
155,Armeria,MX,2022-02-03 22:58:51,18.9333,-103.9667,80.56,47,2,5.82,clear sky
156,Murzzuschlag,AT,2022-02-03 22:58:51,47.6,15.6833,34.25,94,89,3.83,overcast clouds
157,Conde,BR,2022-02-03 22:58:51,-7.2597,-34.9075,81.86,78,75,9.22,broken clouds
158,Santa Lucia,ES,2022-02-03 22:58:52,27.9117,-15.5407,61.92,40,0,2.3,clear sky
159,Cidreira,BR,2022-02-03 22:58:52,-30.1811,-50.2056,76.21,86,61,21.79,broken clouds
160,Kalaiya,NP,2022-02-03 22:58:53,27.0327,85.0022,58.15,79,92,8.03,overcast clouds
161,Benguela,AO,2022-02-03 22:58:53,-12.5763,13.4055,74.73,75,66,2.37,broken clouds
162,San Juan,AR,2022-02-03 22:58:53,-31.5375,-68.5364,88.36,26,20,5.14,few clouds
163,Mahebourg,MU,2022-02-03 22:58:54,-20.4081,57.7,80.89,89,75,25.32,broken clouds
164,Mingaora,PK,2022-02-03 22:58:54,34.7758,72.3625,36.63,42,0,6.69,clear sky
165,Hannibal,US,2022-02-03 22:58:54,39.7084,-91.3585,18.32,84,100,14.32,overcast clouds
166,Tasiilaq,GL,2022-02-03 22:58:55,65.6145,-37.6368,5.88,60,100,7.29,overcast clouds
167,Jacmel,HT,2022-02-03 22:58:55,18.2342,-72.5347,75.54,80,16,3.65,few clouds
168,Denia,ES,2022-02-03 22:58:55,38.8408,0.1057,65.8,66,77,5.91,broken clouds
169,Tuktoyaktuk,CA,2022-02-03 22:58:56,69.4541,-133.0374,-18.4,76,100,10.36,light snow
170,Vrangel,RU,2022-02-03 22:58:56,42.7297,133.0839,11.86,65,0,12.55,clear sky
171,Ghanzi,BW,2022-02-03 22:58:57,-21.5667,21.7833,70.47,79,30,8.01,light rain
172,Korla,CN,2022-02-03 22:58:57,41.7597,86.1469,24.8,50,100,6.04,overcast clouds
173,Egvekinot,RU,2022-02-03 22:54:44,66.3167,-179.1667,-8.21,77,2,20.58,clear sky
174,Saurimo,AO,2022-02-03 22:58:57,-9.6608,20.3916,63.57,99,100,3.4,overcast clouds
175,Bengkulu,ID,2022-02-03 22:54:17,-3.8004,102.2655,75.96,88,100,4.32,overcast clouds
176,Pochutla,MX,2022-02-03 22:58:58,15.7432,-96.4661,84.81,46,0,7.25,clear sky
177,Miranda De Ebro,ES,2022-02-03 22:58:58,42.6865,-2.947,44.98,85,100,2.82,overcast clouds
178,Moussoro,TD,2022-02-03 22:58:58,13.6408,16.4901,63.43,14,5,11.86,clear sky
179,Talaya,RU,2022-02-03 22:58:59,61.3833,152.75,-25.44,99,75,3.11,broken clouds
180,Kidal,ML,2022-02-03 22:58:59,18.4411,1.4078,62.78,13,33,13.35,scattered clouds
181,Aleksandrov Gay,RU,2022-02-03 22:59:00,50.147,48.5704,28.53,95,100,7.27,overcast clouds
182,Placido De Castro,BR,2022-02-03 22:59:00,-10.3353,-67.1856,75.31,96,45,2.55,scattered clouds
183,San Patricio,US,2022-02-03 22:59:00,28.017,-97.5169,37.49,77,100,20.07,light rain
184,Belmonte,BR,2022-02-03 22:57:56,-15.8631,-38.8828,81.1,81,21,7.29,few clouds
185,Saint-Pierre,RE,2022-02-03 22:59:01,-21.3393,55.4781,78.44,92,100,20.24,very heavy rain
186,Sari,IR,2022-02-03 23:00:01,36.5633,53.0601,53.17,49,100,3.56,overcast clouds
187,Hithadhoo,MV,2022-02-03 22:54:18,-0.6,73.0833,81.18,72,90,8.32,overcast clouds
188,Dapaong,TG,2022-02-03 23:00:02,10.8639,0.205,74.8,10,9,6.71,clear sky
